Cloudlet ID,STATUS,Data center ID,VM ID,Time,Start Time,Finish Time,,Cloudlet ID,STATUS,Data center ID,VM ID,Time,Start Time,Finish Time
2378,SUCCESS,2,30,1068,0.1,1068.1,,14386,SUCCESS,2,184,1255,0.1,1255.1
2379,SUCCESS,2,30,1068,0.1,1068.1,,16263,SUCCESS,2,208,1255,0.1,1255.1
2380,SUCCESS,2,30,1068,0.1,1068.1,,16656,SUCCESS,2,213,1255,0.1,1255.1
2381,SUCCESS,2,30,1068,0.1,1068.1,,16811,SUCCESS,2,215,1255,0.1,1255.1
2382,SUCCESS,2,30,1068,0.1,1068.1,,17204,SUCCESS,2,220,1255,0.1,1255.1
2383,SUCCESS,2,30,1068,0.1,1068.1,,17830,SUCCESS,2,228,1255,0.1,1255.1
2385,SUCCESS,2,30,1068,0.1,1068.1,,17908,SUCCESS,2,229,1255,0.1,1255.1
2386,SUCCESS,2,30,1068,0.1,1068.1,,55,SUCCESS,2,1,1278,0.1,1278.1
2387,SUCCESS,2,30,1068,0.1,1068.1,,290,SUCCESS,2,4,1278,0.1,1278.1
2388,SUCCESS,2,30,1068,0.1,1068.1,,681,SUCCESS,2,9,1278,0.1,1278.1
2389,SUCCESS,2,30,1068,0.1,1068.1,,1309,SUCCESS,2,17,1278,0.1,1278.1
2391,SUCCESS,2,30,1068,0.1,1068.1,,1621,SUCCESS,2,21,1278,0.1,1278.1
2393,SUCCESS,2,30,1068,0.1,1068.1,,2404,SUCCESS,2,31,1278,0.1,1278.1
2394,SUCCESS,2,30,1068,0.1,1068.1,,3500,SUCCESS,2,45,1278,0.1,1278.1
2396,SUCCESS,2,30,1068,0.1,1068.1,,5458,SUCCESS,2,70,1278,0.1,1278.1
2397,SUCCESS,2,30,1068,0.1,1068.1,,5927,SUCCESS,2,76,1278,0.1,1278.1
2400,SUCCESS,2,30,1068,0.1,1068.1,,6710,SUCCESS,2,86,1278,0.1,1278.1
2401,SUCCESS,2,30,1068,0.1,1068.1,,8198,SUCCESS,2,105,1278,0.1,1278.1
2402,SUCCESS,2,30,1068,0.1,1068.1,,8668,SUCCESS,2,111,1278,0.1,1278.1
4676,SUCCESS,2,60,1068,0.1,1068.1,,9999,SUCCESS,2,128,1278,0.1,1278.1
4679,SUCCESS,2,60,1068,0.1,1068.1,,10547,SUCCESS,2,135,1278,0.1,1278.1
4680,SUCCESS,2,60,1068,0.1,1068.1,,11878,SUCCESS,2,152,1278,0.1,1278.1
4683,SUCCESS,2,60,1068,0.1,1068.1,,12036,SUCCESS,2,154,1278,0.1,1278.1
4685,SUCCESS,2,60,1068,0.1,1068.1,,12661,SUCCESS,2,162,1278,0.1,1278.1
4686,SUCCESS,2,60,1068,0.1,1068.1,,13914,SUCCESS,2,178,1278,0.1,1278.1
4687,SUCCESS,2,60,1068,0.1,1068.1,,14854,SUCCESS,2,190,1278,0.1,1278.1
4688,SUCCESS,2,60,1068,0.1,1068.1,,15480,SUCCESS,2,198,1278,0.1,1278.1
4689,SUCCESS,2,60,1068,0.1,1068.1,,15950,SUCCESS,2,204,1278,0.1,1278.1
4690,SUCCESS,2,60,1068,0.1,1068.1,,16577,SUCCESS,2,212,1278,0.1,1278.1
4691,SUCCESS,2,60,1068,0.1,1068.1,,16890,SUCCESS,2,216,1278,0.1,1278.1
4694,SUCCESS,2,60,1068,0.1,1068.1,,17046,SUCCESS,2,218,1278,0.1,1278.1
4695,SUCCESS,2,60,1068,0.1,1068.1,,17516,SUCCESS,2,224,1278,0.1,1278.1
4696,SUCCESS,2,60,1068,0.1,1068.1,,18221,SUCCESS,2,233,1278,0.1,1278.1
4697,SUCCESS,2,60,1068,0.1,1068.1,,19004,SUCCESS,2,243,1278,0.1,1278.1
4698,SUCCESS,2,60,1068,0.1,1068.1,,2560,SUCCESS,2,33,1294,0.1,1294.1
4699,SUCCESS,2,60,1068,0.1,1068.1,,3030,SUCCESS,2,39,1294,0.1,1294.1
4700,SUCCESS,2,60,1068,0.1,1068.1,,3423,SUCCESS,2,44,1294,0.1,1294.1
4702,SUCCESS,2,60,1068,0.1,1068.1,,4518,SUCCESS,2,58,1294,0.1,1294.1
4703,SUCCESS,2,60,1068,0.1,1068.1,,5379,SUCCESS,2,69,1294,0.1,1294.1
4705,SUCCESS,2,60,1068,0.1,1068.1,,9921,SUCCESS,2,127,1294,0.1,1294.1
4707,SUCCESS,2,60,1068,0.1,1068.1,,11095,SUCCESS,2,142,1294,0.1,1294.1
4708,SUCCESS,2,60,1068,0.1,1068.1,,11410,SUCCESS,2,146,1294,0.1,1294.1
4710,SUCCESS,2,60,1068,0.1,1068.1,,14462,SUCCESS,2,185,1294,0.1,1294.1
4711,SUCCESS,2,60,1068,0.1,1068.1,,15793,SUCCESS,2,202,1294,0.1,1294.1
4714,SUCCESS,2,60,1068,0.1,1068.1,,16185,SUCCESS,2,207,1294,0.1,1294.1
4715,SUCCESS,2,60,1068,0.1,1068.1,,17125,SUCCESS,2,219,1294,0.1,1294.1
4716,SUCCESS,2,60,1068,0.1,1068.1,,18064,SUCCESS,2,231,1294,0.1,1294.1
4718,SUCCESS,2,60,1068,0.1,1068.1,,18377,SUCCESS,2,235,1294,0.1,1294.1
4719,SUCCESS,2,60,1068,0.1,1068.1,,18456,SUCCESS,2,236,1294,0.1,1294.1
4723,SUCCESS,2,60,1068,0.1,1068.1,,19709,SUCCESS,2,252,1294,0.1,1294.1
